Product Number,Product Description,Product Brand,Product Package Size,Group Name
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",PACKER,60 EA,Cooler Items
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",CROSS VALLEY FARMS,10 LB,Cooler Items
7331614,"CELERY, STICK 4 FRESH REF",CROSS VALLEY FARMS,4/5 LB,Cooler Items
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",CROSS VALLEY FARMS,4/2 LB,Cooler Items
4230900,"CILANTRO, FRESH HERB",PACKER,60 EA,Cooler Items
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",CROSS VALLEY FARMS,4/5 LB,Cooler Items
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",GLENVIEW FARMS,15 DZ,Cooler Items
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",GLENVIEW FARMS,12/1 QT,Cooler Items
2326411,"LETTUCE, ICEBERG FRESH REF BOX",CROSS VALLEY FARMS,24 EA,Cooler Items
5326418,"LETTUCE, ROMAINE FRESH REF",CROSS VALLEY FARMS,24 EA,Cooler Items
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",CROSS VALLEY FARMS,3 LB,Cooler Items
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",PACKER,40 LB,Cooler Items
3264931,"MARGARINE, SALTED TUB REF WHIPPED",GLENVIEW FARMS,6/4 LB,Cooler Items
315606,"MILK, BUTTERMILK BULGARIN REF",HILAND,9/.5 GA,Cooler Items
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",GLENVIEW FARMS,4/1 GA,Cooler Items
5006465,"MUSHROOM, SLICED FRESH REF",PACKER,10 LB,Cooler Items
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",CROSS VALLEY FARMS,10 LB,Cooler Items
3037330,"PEPPER, CHILI SERRANO FRESH REF",PACKER,5 LB,Cooler Items
6010482,"PEPPER, JALAPENO FRESH REF",PACKER,10 LB,Cooler Items
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",GLENVIEW FARMS,4/5 LB,Cooler Items
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",CROSS VALLEY FARMS,25 LB,Cooler Items
4731741,"TOMATO, GRAPE RED FRESH REF BULK",CROSS VALLEY FARMS,10 LB,Cooler Items
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",DEL PASADO,30 LB,Cooler Items
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",PACKER,20 LB,Cooler Items
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",METRO DELI,3/12 LBA,Cheeses
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",GLENVIEW FARMS,4/5 LB,Cheeses
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",GLENVIEW FARMS,4/5 LB,Cheeses
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",GLENVIEW FARMS,6/1.5 LB,Cheeses
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",GLENVIEW FARMS,6/1.5 LB,Cheeses
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",GLENVIEW FARMS,4/5 LB,Cheeses
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",MONARCH,4/1 GA,Salad Dressings
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",HARVEST VALUE,4/1 GA,Salad Dressings
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",MONARCH,4/1 GA,Salad Dressings
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",KEN'S,4/1 GA,Salad Dressings
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",MONARCH,4/1 GA,Salad Dressings
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",MONARCH,4/1 GA,Salad Dressings
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",TYSON,6/5 LB,Big House Only
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",HARBOR BANKS,4/2.5 LB,Big House Only
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",LAXSON PROVISION,2/5 LB,Big House Only
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",PATUXENT FARMS,2/11 LBA,Big House Only
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",HILLTOP HEARTH,12/6/3.5 OZ,Big House Only
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",HILLTOP HEARTH,8/36 OZ,Big House Only
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",EUROPEAN BAKERS,8/30 OZ,Big House Only
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",TEXAS CHILI CO,6/5 LB,Big House Only
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",MOLLY'S KITCHEN,4/3 LB,BHB Universal
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",LAMB WESTON,6/3 LB,BHB Universal
3041423,"CORN DOG, ALL-MEAT FROZEN",STATE FAIR,48/4 OZ,BHB Universal
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",PATUXENT FARMS,10 LB,BHB Universal
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",PATUXENT FARMS,4/10 LB,BHB Universal
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",PATUXENT FARMS,4/10 LB,BHB Universal
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",Patuxent Farms,4/5 LB,OTHER
5314208,"BEEF, CUTLET SELECT RAW FROZEN",EDDY,28/6 OZ,BHB Universal
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",SUKARNE,65 LBA,BHB Universal
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",HARVEST VALUE,40/4 OZ,BHB Universal
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",STOCK YARDS ANGUS BEEF,2/23 LBA,BHB Universal
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",HARBOR BANKS,5/2 LB,BHB Universal
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",HARBOR BANKS,15 LB,BHB Universal
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",HARBOR BANKS,5/2 LB,BHB Universal
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",MONARCH,6/4.5 LB,BHB Universal
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",LAMBS SUPREME,6/5 LB,BHB Universal
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",MONARCH,3/5 LB,BHB Universal
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",HAGY,2/5 LB,BHB Universal
1633130,"BACON,SLAB #2 CURED",COVERED WAGON,30 LB,BHB Universal
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",PATUXENT FARMS,2/5 LB,BHB Universal
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",DAVIDS,2/96 OZ,Desserts
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",CHEF'S LINE,3 GA,Desserts
766949,"ICE CREAM, CHOCOLATE TUB",GLENVIEW FARMS,3 GA,Desserts
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",GLENVIEW FARMS,12/15 OZ,Desserts
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",DEVONSHIRE,2/83.68 OZ,Desserts
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",DEVONSHIRE,2/72 OZ,Desserts
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",SWEET STREET,4/9/5 OZ,Desserts
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",ROSES COCKTAIL INFUSIONS,12/1 LT,OTHER
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",CLAMATO,6/1 LT,Bar
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",CANADA DRY,4/6/10 OZ,Bar
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",CANADA DRY,4/6/10 OZ,Bar
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",MONOGRAM,10/150 EA,Bar
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",MORTON SALT,12/3 LB,Bar
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",SUGAR IN THE RAW,12/2 LB,Bar
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",DOLE PACKAGED,12/46 OZ,Bar
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",TROPICANA,24/10 OZ,Bar
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",THIRSTER,12/46 OZ,Bar
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",OCEAN SPRAY,12/32 OZ,Bar
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",LEMON-X,4/1 GA,Bar
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",LASCO,12/34 OZ,Bar
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",MAYSON,4/1 GA,Bar
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",ISLAND OASIS,12/1 QT,Bar
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",ISLAND OASIS,12/1 QT,Bar
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",ISLAND OASIS,12/1 QT,Bar
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",ISLAND OASIS,12/1 QT,Bar
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",VALU PLUS,8/500 EA,Bar
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",MONARCH,4/1 GA,Bar
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",PACKER,8/1 LB,Bar
2186153,"PINEAPPLE, GOLDEN FRESH REF",PACKER,7 EA,Bar
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",PACKER,88 EA,Bar
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",HARVEST VALUE,4/128 OZ,Bar
8387194,"WATER, MINERAL GLASS BOTTLE",TOPO CHICO,24/12 OZ,Bar
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",VALU PLUS,150 EA,TO GO Items
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",MONOGRAM,4/125 EA,TO GO Items
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",MONOGRAM,110 EA,TO GO Items
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",MONOGRAM,3/40 EA,TO GO Items
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",MONOGRAM,2/500 EA,TO GO Items
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",PAPERCON,2000 EA,TO GO Items
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",MONOGRAM,250 EA,TO GO Items
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",PRIME SOURCE,1000 EA,TO GO Items
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",SWEET' N LOW SWEETENER,2000/1 GR,TO GO Items
4329314,"MUSTARD, YELLOW SS POUCH",MONARCH,200/5.5 GR,TO GO Items
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",MONARCH,200/12 GR,TO GO Items
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",MONARCH,1000/9 GR,TO GO Items
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",MONOGRAM,2000 EA,TO GO Items
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",DEL SOL,6/#10 CN,Spices
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",MONARCH,6/#10 CN,Spices
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",MONARCH,6/#10 CN,Spices
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",HARVEST VALUE,6/#10 CN,Spices
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",DEL SOL,6/#10 CN,Spices
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",CHEF SUPREME,5 GA,Spices
6329924,"SALT, TABLE IODIZED BAG",MONARCH,25 LB,Spices
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",MONARCH,5 LB,Spices
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",MONARCH,50 LB,Spices
8047557,"MIX, GRAVY PEPPER ADD WATER",MORRISONS MILLING,6/24 OZ,Spices
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",MONARCH,6/13 OZ,Spices
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",CROSS VALLEY FARMS,50 LB,Spices
4326690,"ONION, RED JUMBO FRESH REF BAG",CROSS VALLEY FARMS,25 LB,Spices
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",PACKER,50 LB,Spices
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",CROSS VALLEY FARMS,50 LB,Spices
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",HARVEST VALUE,25 LB,Spices
2228849,"BREADER, FISH SEASONED BAG",ZATARAIN'S,25 LB,Spices
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",MONARCH,24/14 OZ,Spices
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",MONARCH,3 GA,Spices
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",RYKOFF SEXTON,35 LB,Spices
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",HARVEST VALUE,4/1 GA,Spices
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",MONARCH,4/1 GA,Spices
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",MONARCH,4/1 GA,Spices
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",MONARCH,3/1 GA,Spices
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",KIKKOMAN,6/5 LB,Spices
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",KRAFT,4/1 GA,Spices
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",SWEET BABY RAY'S,4/1 GA,Spices
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",MONARCH,4/1 GA,Spices
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",A1,24/5 OZ,Spices
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",TABASCO,24/2 OZ,Spices
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",TRAPPEY'S,12/12 OZ,Spices
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",MONARCH,250/.25 OZ,Spices
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",LANCE,500/2 EA,Spices
7945926,"CRACKER, SALAD WAFER IW",MONARCH,500/2 EA,Spices
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",LAYS,64/1.5 OZ,Spices
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",MONOGRAM,10/500 EA,Spices
4060067,"TOOTHPICK, WOOD MINT WRAPPED",ROYAL PAPER,15/1000 EA,Spices
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",ECO CRAFT,1000 EA,Spices
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",DEL PASADO,30 OZ,Spices
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",MONARCH,28 OZ,Spices
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",RITUALS,32/4 OZ,Spices
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",TETLEY,8/3.3 LB,Spices
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",BIG HOUSE BURGERS,1000 EA,Spices
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",KARAT CUP,20/50 EA,Spices
1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",MONOGRAM,15/200 EA,Spices
2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",MONOGRAM,20/120 EA,Spices
7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",DART,20/50 EA,Spices
7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",DART,10/100 EA,Spices
6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",MONOGRAM,25/40 EA,Spices
1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",VIO,1000 EA,Spices
8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",MONOGRAM,30 RL,Spices
8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",VALU PLUS,24/250 EA,Spices
4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",ECO CRAFT,5/1000 EA,Spices
511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",MONOGRAM,5/1000 EA,Spices
1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",HARVEST VALUE,35 LB,Spices
4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",DURABLE PACKAGING,1 RL,Spices
4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",MONOGRAM,1 RL,Spices
5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",MONOGRAM,1 RL,Spices
6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",MONOGRAM,1 RL,Spices
3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",MONOGRAM,6/500 EA,Spices
6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",MONARCH,12/7.6 OZ,Spices
7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",GOOD SEASONS,20/3.2 OZ,Spices
9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",SUNSHINE CRACKER,10 LB,Spices
3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",ROYAL PAPER,50 EA,Spices
1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",DAY DOTS INTERNATIONAL,1 RL,Spices
2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",FOODHANDLER,144 EA,Spices
9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",CELLUCAP,10/1000 EA,Spices
2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",SUPERIOR / CES,3 DZ,Spices
1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",SUPERIOR / CES,1 DZ,Spices
445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",MONOGRAM,50 RL,Spices
4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",NATIONAL CHECK,50/50 EA,Spices
2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",MONOGRAM,12/1 EA,Cleaning Supplies
2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",MONOGRAM,6/12 EA,Cleaning Supplies
9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",MONOGRAM / CLEAN FORCE,6/32 OZ,Cleaning Supplies
7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",MONOGRAM / CLEAN FORCE,6/32 OZ,Cleaning Supplies
5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",MONOGRAM / CLEAN FORCE,4/1 GA,Cleaning Supplies
7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",COMET,8/32 OZ,Cleaning Supplies
7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",VALU PLUS,4/1 GA,Cleaning Supplies
7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",MONOGRAM,10/200 EA,Cleaning Supplies
8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",MONOGRAM / CLEAN FORCE,5 GA,Cleaning Supplies
8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",MONOGRAM / CLEAN FORCE,5 GA,Cleaning Supplies
6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",MONOGRAM / CLEAN FORCE,5 GA,Cleaning Supplies
9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",MONOGRAM,6 RL,Cleaning Supplies
95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",PACIFIC BLUE - GP,8 RL,Cleaning Supplies
8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",MONOGRAM,16/250 EA,Cleaning Supplies
4736314,"DEODORIZER, URINAL SCREEN W/ BLOCK SOLID IW BLUE EVERGREEN SCENT AIR FRESHE",MONOGRAM,12 EA,Cleaning Supplies
5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",MONOGRAM / CLEAN FORCE,6 EA,Cleaning Supplies
2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",VALU PLUS,3/1 EA,Cleaning Supplies
7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",VALU PLUS,4/25 EA,Cleaning Supplies
7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",VALU PLUS,4/25 EA,Cleaning Supplies
4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",DAWN,8/38 OZ,Cleaning Supplies
2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",MONOGRAM / CLEAN FORCE,60/3 OZ,Cleaning Supplies
