Category,Keywords
Food Expense,Big House Burgers Kingsville;CC Produce;Corpus Christi Produce;M&M Ramos Distribution;MCM Bread and Sweets;US Foods;Cash & Carry;Pepsi Cola;Pepsi-Cola;Sugar Buzz;MCM Bread & Sweets;Tasha Brun;Jon Stringer;Victoria Cantu;Ramiro Villarreal;Timothy Ortiz;Jacob Vela;Matthew Rodriguez;Ramiro Vera;Omar Espinoza;Jorge Riojas;Beto's
Beer Expense,Andrewâ€™s Distributors;L&F Distributors;Andrew's Distributors
Liquor Expenses,The Jigger;Jigger;Discount Liquor
Payroll Expense,Hourly Regular;Hourly OT;Manager Salary;Assistant Manager;Admin;Vacation;Bonus
Utility Expense,Centerpoint;Center Point;Constellation;Directv;Jim Wells;Jim wells County Appraisal District;NuCo2;STGR;Spectrum;Toast;Easy;City of Kingsville;4Change Energy;City of Alice;SparkLight;ATT;Direct TV
Maintenance,"Repair;Maintenance;Service Call;Plumbing;HVAC;Electrical;S & C Auto Parts Company;All Brands Sales & Service;Jean's Restaurant Supply;Combat Cooling and Heating, LLC;ALice Doors;Alamo Food Equipment;APG;Tellus Equipment;Guard Master;Birdwell Computer Services;Gar Enterprises;Iconic Sign Group;Garcia and Sons;ACME;Rogelio Lomas;Combat Cooling and Heaing, LLC;Orlando Moya;Dowell Pest Control;Riptide Refrigeration;Capital Kleen Air Inc;Lowe's;AC Lawn Garden;Glazer's Beer & Beverage;All Brands Sales Service;Roger Lomas;Affortable Gas and Electric;Next Level;Diego Morales;Gulf Coast Laser Lenu;CMC Group;Boelter;JMPremier Enterprises;Sherwin Williams;Christopher Castaneda;Macareno Signs;Zarsky Lumber;RipTide;Donald Davis Jr;Webstaurant Store"
Tax & Licenses,Tax;License;Permit;Registration;State Comptroller;IRS;Government Payments;City of Alice-Code Dept;TABC;QuickBooks Payroll Service;Internal Revenue Services;Texas Workforce Commission;Webfile
Insurance,Insurance;Policy;Premium;The Hartford
Advertising,Ad;Advertising;Marketing;Promotion;Andrew Mendez;Austin Sheffield;T Dezigns;Keep Kingsville Beautiful;Weavers of Love;BLG Entertainment;texas A&M Kingsville;Epiphany Montessori School;St. Francis Foundation;St. Martins Catholic Church;S&S Graphics & Detailing;KOPY FM;Bishop Youth Baseball Softball League;Kingsville ISD;KingsvilleBoxing Club;Kingsville Boxing Club;KOPY 92.1FM;BHS Cheer;Facebook
Office Supplies,Office;Supplies;Stationery;Printer;Ink;Alfredo Gallegos;Yesenia Gallegos;Kingsville Bakery;Harland Clarke;Mr Jaime's;Rosenblatt Law Firm;Betty Gallegos;Economy Printing;Alice Cash Carry;Oscar Fuentes;Espi Fix Kingsville
Bank Fees,Bank Fee;Service Charge;Overdraft;Wire Fee;Transfer;AR NACHA Bankcard;MTHYLY FEES BNKCD SETTLE;transfer from x5044 to x6868;credit key;1st Community Bank;Merch Bankcard;Force Pay;Southwest CardMember Service;Transfer from x5044 to x4598;DBT CRD;Transfer from x5044 to x6882;Synchrony Bank;Debit Memo;Transfer from x5044 to x9595;Transfer from x5044 to x1553;ATM
Miscellaneous,Misc;Other;Uncategorized;Chico Villarreal;Luis Mata;Lesli Rodriguez;Smartshop;Luis Mate;Francisco C Villarreal;Rene Soto;kwik;marriott;Ysidro G. Villarreal;HEB;Loghorn Steak;Gabriella Rosalez;Amazon;Discount Tires;BRGHTWHL;Corando Trevino Jr.;Event Mania;Door Dash;uber;Bill Miller BBQ;ClassDojo;Coastal Bend Enterprises;CIRCLE K;favor;southwest;Hobby Lobby
Reimbursement,Reimburse;Reimbursement;Refund;Repayment;Abran J Rosalez;Victor Moreno;Arnold Ramirez;David Barraza;Arnold Ramirez Jr.;Estevan Gonzalez;Dominique Zamora;Arnoldo Ramirez Jr.
Employee Check Tip,Tip;Employee Tip;Check Tip;Shelbie Ramos;Alexis D Silva;Saleigh Ramos;Alexis Beltran;Blaine Roberson;Anisa D Rocha;Destiny Pena;Karson A Shepherd;Indira Garcia;Isabel Garcia;Mary Lou Otero-Munoz;Domineque Zomora;Alysha Ramirez;April Salinas;Genoveva A Salinas;Lariah Saenz;Melanie R Vasquez;Reana Cisneros;Abigail Vidal;Emileigh R Salinas;Samantha Ozuna;Victoria Cavazos;Bryan Garcia;Marissa Alvarez;Alexa Garcia;Katie S Arnold;Kassidy I Pena;Jailyn Carabajal;Alexis Bratten;Alexandra Perez;Rebecca Otero-Arroyo;Hannah Griffith;Erika Y Rodriguez-Ortiz;Maria Cortez;Stephanie Chapa
Entertainment,Peter Salas;Omar Castillo;Michael Garcia;Omar Espinoza;Jorge Riojas;Alex Reymundo;Jacob Vela;Matthew Rodriguez;Arthur Barrera;Ethan Edghill;Art Barrera;Coleman King;Tasha Brun;Michael Vara;daniel Navarro;Timothy Ortiz;Osvaldo Ramirez;Omar Castillo*;Victoria Cantu;Jon Stringer;Ramiro Villarreal;Daniel Jacobs;Ramiro Vera;Caleb Sam Brown;Michael Gutierrez
Supplies,USPS;Wal-Mart;target;Beto's;El Tapatio
Ranch Workers,Daniell Quintero;Crystal Zamora;Danielle Quinetro;Berna Rodriguez;Victoria Pena;Austin Sheffield
Owners Expense,
